Result,Timestamp
Data successfully sent at, 2023-10-18 15:00:54
Data successfully sent at, 2023-10-18 15:00:59
Data successfully sent at, 2023-10-18 15:01:04
Data successfully sent at, 2023-10-18 15:06:24
Data successfully sent at, 2023-10-18 15:06:29
Data successfully sent at, 2023-10-18 15:07:54
Data successfully sent at, 2023-10-18 15:08:00
Data successfully sent at, 2023-10-18 15:12:51
Data successfully sent at, 2023-10-18 15:12:56
Data successfully sent at, 2023-10-18 15:18:25
Data successfully sent at, 2023-10-18 15:18:30
Data successfully sent at, 2023-10-18 15:22:02
Data successfully sent at, 2023-10-18 15:22:07
Data successfully sent at, 2023-10-18 15:22:13
Data successfully sent at, 2023-10-18 15:22:36
Data successfully sent at, 2023-10-18 15:22:42
Data successfully sent at, 2023-10-18 15:22:47
Data successfully sent at, 2023-10-18 15:22:52
Data successfully sent at, 2023-10-18 15:22:58
Data successfully sent at, 2023-10-18 15:23:03
Data successfully sent at, 2023-10-18 15:23:08
Data successfully sent at, 2023-10-18 15:23:13
Data successfully sent at, 2023-10-18 15:23:19
Data successfully sent at, 2023-10-18 15:23:56
Data successfully sent at, 2023-10-18 15:24:01
Data successfully sent at, 2023-10-19 12:48:00
Data successfully sent at, 2023-10-19 12:53:45
Data successfully sent at, 2023-10-19 12:55:17
Data successfully sent at, 2023-10-19 12:55:23
Data successfully sent at, 2023-10-19 12:55:28
Data successfully sent at, 2023-10-19 12:55:33
Data successfully sent at, 2023-10-19 12:55:39
Data successfully sent at, 2023-10-19 12:55:44
Data successfully sent at, 2023-10-19 13:02:54
Data successfully sent at, 2023-10-19 13:02:59
Data successfully sent at, 2023-10-19 13:07:53
Data successfully sent at, 2023-10-19 13:07:58
Data successfully sent at, 2023-10-19 13:08:03
Data successfully sent at, 2023-10-19 13:08:09
Data successfully sent at, 2023-10-19 13:08:14
Data successfully sent at, 2023-10-19 13:08:19
Data successfully sent at, 2023-10-19 13:08:25
Data successfully sent at, 2023-10-19 13:08:30
Data successfully sent at, 2023-10-19 13:08:35
Data successfully sent at, 2023-10-19 13:08:41
Data successfully sent at, 2023-10-19 13:08:46
Data successfully sent at, 2023-10-19 13:08:51
Data successfully sent at, 2023-10-19 13:08:56
Data successfully sent at, 2023-10-19 13:09:02
Data successfully sent at, 2023-10-19 13:09:07
Data successfully sent at, 2023-10-19 13:09:12
Data successfully sent at, 2023-10-19 13:09:18
Data successfully sent at, 2023-10-19 13:09:23
Data successfully sent at, 2023-10-19 13:09:29
Data successfully sent at, 2023-10-19 13:09:34
Data successfully sent at, 2023-10-19 13:09:39
Data successfully sent at, 2023-10-19 13:09:45
Data successfully sent at, 2023-10-19 13:09:50
Data successfully sent at, 2023-10-19 13:09:55
Data successfully sent at, 2023-10-19 13:10:00
Data successfully sent at, 2023-10-19 13:10:06
Data successfully sent at, 2023-10-19 13:10:11
Data successfully sent at, 2023-10-19 13:10:16
Data successfully sent at, 2023-10-19 13:10:22
Data successfully sent at, 2023-10-19 13:16:15
Data successfully sent at, 2023-10-19 13:18:03
Data successfully sent at, 2023-10-19 13:19:40
Data successfully sent at, 2023-10-19 13:23:12
Data successfully sent at, 2023-10-19 13:30:32
Data successfully sent at, 2023-10-19 13:30:38
Data successfully sent at, 2023-10-19 13:30:43
Data successfully sent at, 2023-10-19 13:30:48
Data successfully sent at, 2023-10-19 13:31:53
Data successfully sent at, 2023-10-19 13:31:58
Data successfully sent at, 2023-10-19 13:32:28
Data successfully sent at, 2023-10-19 13:32:33
Data successfully sent at, 2023-10-19 13:32:38
Data successfully sent at, 2023-10-19 13:32:43
Data successfully sent at, 2023-10-19 13:32:49
Data successfully sent at, 2023-10-19 13:32:54
Data successfully sent at, 2023-10-19 13:32:59
Data successfully sent at, 2023-10-19 13:34:04
Data successfully sent at, 2023-10-19 13:34:09
Data successfully sent at, 2023-10-19 13:34:15
Data successfully sent at, 2023-10-19 13:34:35
Data successfully sent at, 2023-10-19 13:34:41
Data successfully sent at, 2023-10-19 13:34:46
Data successfully sent at, 2023-10-19 13:39:53
Data successfully sent at, 2023-10-19 13:40:03
Data successfully sent at, 2023-10-19 13:40:14
Data successfully sent at, 2023-10-19 14:00:01
Data successfully sent at, 2023-10-19 14:00:02
Data successfully sent at, 2023-10-19 14:00:02
Data successfully sent at, 2023-10-19 14:00:02
Data successfully sent at, 2023-10-19 14:00:02
Data successfully sent at, 2023-10-19 14:00:02
Data successfully sent at, 2023-10-19 14:00:03
Data successfully sent at, 2023-10-19 14:00:03
Data successfully sent at, 2023-10-19 14:00:03
Data successfully sent at, 2023-10-19 14:00:03
Data successfully sent at, 2023-10-19 14:00:03
Data successfully sent at, 2023-10-19 14:00:04
Data successfully sent at, 2023-10-19 14:00:04
Data successfully sent at, 2023-10-19 14:00:04
Data successfully sent at, 2023-10-19 14:00:04
Data successfully sent at, 2023-10-19 14:00:04
Data successfully sent at, 2023-10-19 14:00:05
Data successfully sent at, 2023-10-19 14:00:05
Data successfully sent at, 2023-10-19 14:00:05
Data successfully sent at, 2023-10-19 14:00:05
Data successfully sent at, 2023-10-19 14:00:05
Data successfully sent at, 2023-10-19 14:00:06
Data successfully sent at, 2023-10-19 14:00:06
Data successfully sent at, 2023-10-19 14:00:06
Data successfully sent at, 2023-10-19 14:00:06
Data successfully sent at, 2023-10-19 14:00:06
Data successfully sent at, 2023-10-19 14:00:07
Data successfully sent at, 2023-10-19 14:00:07
Data successfully sent at, 2023-10-19 14:00:07
Data successfully sent at, 2023-10-19 14:00:07
Data successfully sent at, 2023-10-19 14:00:07
Data successfully sent at, 2023-10-19 14:00:08
Data successfully sent at, 2023-10-19 14:00:08
Data successfully sent at, 2023-10-19 14:00:08
Data successfully sent at, 2023-10-19 14:00:08
Data successfully sent at, 2023-10-19 14:00:09
Data successfully sent at, 2023-10-19 14:00:09
Data successfully sent at, 2023-10-19 14:00:09
Data successfully sent at, 2023-10-19 14:00:09
Data successfully sent at, 2023-10-19 14:00:09
Data successfully sent at, 2023-10-19 14:00:10
Data successfully sent at, 2023-10-19 14:00:10
Data successfully sent at, 2023-10-19 14:00:10
Data successfully sent at, 2023-10-19 14:00:10
Data successfully sent at, 2023-10-19 14:00:10
Data successfully sent at, 2023-10-19 14:00:11
Data successfully sent at, 2023-10-19 14:00:11
Data successfully sent at, 2023-10-19 14:00:11
Data successfully sent at, 2023-10-19 14:00:11
Data successfully sent at, 2023-10-19 14:00:12
Data successfully sent at, 2023-10-19 14:00:12
Data successfully sent at, 2023-10-19 14:00:12
Data successfully sent at, 2023-10-19 14:00:12
Data successfully sent at, 2023-10-19 14:00:12
Data successfully sent at, 2023-10-19 14:00:13
Data successfully sent at, 2023-10-19 14:00:13
Data successfully sent at, 2023-10-19 14:00:13
Data successfully sent at, 2023-10-19 14:00:13
Data successfully sent at, 2023-10-19 14:00:13
Data successfully sent at, 2023-10-19 14:00:14
Data successfully sent at, 2023-10-19 14:00:14
Data successfully sent at, 2023-10-19 14:00:14
Data successfully sent at, 2023-10-19 14:00:14
Data successfully sent at, 2023-10-19 14:00:14
Data successfully sent at, 2023-10-19 14:00:15
Data successfully sent at, 2023-10-19 14:00:15
Data successfully sent at, 2023-10-19 14:00:15
Data successfully sent at, 2023-10-19 14:00:15
Data successfully sent at, 2023-10-19 14:00:15
Data successfully sent at, 2023-10-19 14:00:16
Data successfully sent at, 2023-10-19 14:00:16
Data successfully sent at, 2023-10-19 14:00:16
Data successfully sent at, 2023-10-19 14:00:16
Data successfully sent at, 2023-10-19 14:00:17
Data successfully sent at, 2023-10-19 14:00:17
Data successfully sent at, 2023-10-19 14:47:35
Data successfully sent at, 2023-10-19 14:47:41
Data successfully sent at, 2023-10-19 14:47:46
Data successfully sent at, 2023-10-19 14:47:51
Data successfully sent at, 2023-10-19 14:47:56
Data successfully sent at, 2023-10-19 14:48:01
Data successfully sent at, 2023-10-19 14:48:07
Data successfully sent at, 2023-10-19 14:48:12
Data successfully sent at, 2023-10-19 14:48:17
Data successfully sent at, 2023-10-19 14:48:22
Data successfully sent at, 2023-10-19 14:48:28
Data successfully sent at, 2023-10-19 14:48:33
Data successfully sent at, 2023-10-19 14:48:38
Data successfully sent at, 2023-10-19 14:49:10
Data successfully sent at, 2023-10-19 14:49:15
Data successfully sent at, 2023-10-19 14:58:12
Data successfully sent at, 2023-10-19 14:58:17
Data successfully sent at, 2023-10-19 14:58:22
Data successfully sent at, 2023-10-19 14:58:27
Data successfully sent at, 2023-10-19 14:58:32
Data successfully sent at, 2023-10-19 14:58:38
Data successfully sent at, 2023-10-19 14:58:43
Data successfully sent at, 2023-10-19 14:58:48
Data successfully sent at, 2023-10-19 14:58:53
Data successfully sent at, 2023-10-19 15:01:17
Data successfully sent at, 2023-10-19 15:01:22
Data successfully sent at, 2023-10-19 15:01:27
Data successfully sent at, 2023-10-19 15:01:32
Data successfully sent at, 2023-10-19 15:16:25
Data successfully sent at, 2023-10-19 15:16:31
Data successfully sent at, 2023-10-19 15:16:36
Data successfully sent at, 2023-10-19 15:16:41
Data successfully sent at, 2023-10-19 15:16:46
Data successfully sent at, 2023-10-19 15:16:51
Data successfully sent at, 2023-10-19 15:16:57
Data successfully sent at, 2023-10-19 15:17:02
Data successfully sent at, 2023-10-19 15:17:07
Data successfully sent at, 2023-10-19 15:17:37
Data successfully sent at, 2023-10-19 15:17:43
Data successfully sent at, 2023-10-19 15:26:27
Data successfully sent at, 2023-10-19 15:26:32
Data successfully sent at, 2023-10-19 15:26:37
Data successfully sent at, 2023-10-19 15:27:33
Data successfully sent at, 2023-10-19 15:27:38
Data successfully sent at, 2023-10-19 15:29:09
Data successfully sent at, 2023-10-19 15:29:15
Data successfully sent at, 2023-10-19 15:30:13
Data successfully sent at, 2023-10-19 15:30:19
Data successfully sent at, 2023-10-19 15:30:24
Data successfully sent at, 2023-10-19 15:31:31
Data successfully sent at, 2023-10-19 15:31:37
Data successfully sent at, 2023-10-19 15:34:03
Data successfully sent at, 2023-10-19 15:34:05
Data successfully sent at, 2023-10-19 15:34:11
Data successfully sent at, 2023-10-19 15:34:16
Data successfully sent at, 2023-10-19 15:34:21
Data successfully sent at, 2023-10-19 15:34:26
Data successfully sent at, 2023-10-19 15:34:32
Data successfully sent at, 2023-10-19 15:34:37
Data successfully sent at, 2023-10-19 15:34:42
Data successfully sent at, 2023-10-19 15:34:48
Data successfully sent at, 2023-10-19 15:34:53
Data successfully sent at, 2023-10-19 15:34:58
Data successfully sent at, 2023-10-19 15:35:03
Data successfully sent at, 2023-10-19 15:35:09
Data successfully sent at, 2023-10-19 15:35:14
Data successfully sent at, 2023-10-19 15:35:19
Data successfully sent at, 2023-10-19 15:35:24
Data successfully sent at, 2023-10-19 15:35:30
Data successfully sent at, 2023-10-19 15:35:35
Data successfully sent at, 2023-10-19 15:38:30
Data successfully sent at, 2023-10-19 15:38:35
Data sending failed at, 2023-10-19 15:38:45
